Producer ID,p_id,Producer,Description,Link,SKU,City,Province,Store Name,Postal Code,long,lat,ccc,Page Url,Active,Main image,Image 2,Image 3,Image 4,Image 5,Type,License Type,Date Licensed,Phone,Phone 2,Contact Name,EmailPrivate,Email,Social,FullAddress,Address,Additional Info,Created,Comment,Updated
0,301329,Value Buds - Namao,"At Nova Cannabis we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more. But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do.

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://novacannabisstore.com/,,Edmonton,Alberta,Value Buds - Namao,T5Z 3L2,-113.4876203,53.628087,,https://www.leafly.ca/cannabis-store/nova-cannabis-namao,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FKwqGHISmQ7Ku5zzdMWXb_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=25d319057260a7194b19262081e8465a,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FKwqGHISmQ7Ku5zzdMWXb_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=0c9f8d65444465db75a5ac2939585baa,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FoQwGCjZTmuUbV2WS1I6A_20200120_165809.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=c83fb4a6bb658807b0beae9c1999ead1,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2Fkvp53DpRTguGQvnv7u9D_20200120_165758.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=2d0bd61f1a713344d8c2da54d7d61b60,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FlmkzMiRlTOL9FQe5LuA3_LeaflyGraphics_seniormilitary2.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=42cbda04298a98aee5180febc47c5d42,dispensary,,,780-760-7600,,,,2010406store@alcanna.com,,,16616 95 Street,,,,
1,315702,Value Buds - Sierra Springs,"At Nova Cannabis Sierra Springs, we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more. But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do. It is our pleasure to serve the City of Airdrie! 

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://www.novacannabisstore.com,,Airdrie,Alberta,Value Buds - Sierra Springs,T4B 3G2,-114.0071286,51.265525,,https://www.leafly.ca/cannabis-store/nova-cannabis-sierra-springs,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FQJIXyl2ISO2TejUD0mGL_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=5c850a9045c61de5e2da6cd713dfb1ad,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FQJIXyl2ISO2TejUD0mGL_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=7cc6f5d917fccab31094e34d456dd7e9,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FtgUM2FLsQZ24tiVlAkUG_C0B7BBA4.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=4db2e295a80982fa5590f8c778a0b556,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FxiA6trKITiSyOQlXxZLd_5E836C6F.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=9825d2f142e6009cf63e9a3272d1a947,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2F65tTlLaTRgKXix9qMbt8_LeaflyGraphics_seniormilitary2.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=ac76c753fc2976550fc2963782e8fe18,dispensary,,,403-980-5403,,,,2010602store@alcanna.com,,,#130 - 2765 Main Street SW,,,,
2,306656,Value Buds - Glenmore Landing,"At Nova Cannabis we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more. But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do.

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://www.novacannabisstore.com,,Calgary,Alberta,Value Buds - Glenmore Landing,T2V 5A8,-114.0975211,50.9733867,,https://www.leafly.ca/cannabis-store/nova-cannabis-glenmore-landing,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2F8e6z9W3yQ0acw5OB7X0n_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=ec450a6f05e1401fc6a211f66fb01fea,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2F8e6z9W3yQ0acw5OB7X0n_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=158ad66104bf9d01ba67c05cdf06e3cc,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2F7D12uATWSkCuXV3oLE2B_Glenmore3.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=905714ad6cbd4611a76ca4aefd089a31,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FFp3xPnyGQOWrx1qlqrs9_Glenmore4.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=b7ca097ab39c9e9ced734cef4f2565b7,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FrjcOCD8xRwGjxaPI0t1T_Glenmore2.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=0258581663178279ddcc2632b36e95a5,dispensary,,,403-251-3424,,,,2010605store@alcanna.com,,,"A106, 1600 - 90 Avenue SW",,,,
3,301327,Value Buds - Off Whyte,"At Nova Cannabis we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more. But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do.

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://novacannabisstore.com/,,Edmonton,Alberta,Value Buds - Off Whyte,T6E 4E3,-113.4964834,53.5163946,,https://www.leafly.ca/cannabis-store/nova-cannabis-shoppersouth,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FVTVD1HpuQWzBU1KqKB5D_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=e485fc7761da652d9f4545bf70a7a4ca,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FVTVD1HpuQWzBU1KqKB5D_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=fd3d4211f91c7034dda7d80dc9be30a2,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FPoGNAJ9TTFnhw0YN6mhd_LeaflyGraphics_seniormilitary2.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=9e6b5daa61af991e36ad77dedb824ff3,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FLLkhsAHTRnigFfdAuRnU_LeaflyGraphics_seniormilitary.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=7eec39e5a7efc6e98b59f3d14540f654,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FyurKF7gbRqqUyngEA3fX_IMG_2644.JPG?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=af29a88090c7a8567e468590ff9c84e3,dispensary,,,780-439-7540,,,,2010401store@alcanna.com,,,8015 104 Street,,,,
4,301330,Value Buds - Willow Park,"At Nova Cannabis we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more. But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do.

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://novacannabisstore.com/,,Calgary,Alberta,Value Buds - Willow Park,T2J 5N8,-114.0690477,50.9567541,,https://www.leafly.ca/cannabis-store/nova-cannabis-willow-park,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FDgZtprBQj6QmOdep7Arw_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=cb265f229abeb40dad07da32a556fc6b,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FDgZtprBQj6QmOdep7Arw_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=af0db4f0f6b30bc1658172f3b6028123,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FMnf0LI7wSGm3kFFWhNX0_WillowParkExterior.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=7900f7203d29f60422aacbed139f1f46,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2F22LeoJy9SbSZ4YWkqqfM_LeaflyGraphics_seniormilitary2.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=e6ef39f357ebec5ab3a2189feb12ecd6,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2F3rb1hGL1RHyUAcfjTotD_LeaflyGraphics_seniormilitary.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=011ae7b53bfc265113e91c85d37f44ef,dispensary,,,403-455-6290,,,,2010600store@alcanna.com,,,252-10816 Macleod Trail SE,,,,
5,301326,Value Buds - Southpointe,"At Nova Cannabis we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more. But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do.

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://novacannabisstore.com/,,Fort Saskatchewan,Alberta,Value Buds - Southpointe,T8L 0C5,-113.2173163,53.6932117,,https://www.leafly.ca/cannabis-store/nova-cannabis-southpointe,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FhMXz8U3TnWprFgTQFelw_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=ee8954ecc34447a9de232c5e900822ac,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FhMXz8U3TnWprFgTQFelw_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=2d3193a3c278e82a732274bc2e2ee0ef,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2F4UlNsq6pTliqGHc4eODb_LeaflyGraphics_seniormilitary2.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=117d998fb99323753e9621c591d7ba65,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2Fjt5a9NmQYWz9OuWNWXEm_LeaflyGraphics_seniormilitary.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=4663d624cc860f6a418c1555b3d32b0b,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FHTnQLF3zRsmWVCaHl38k_20181030_083524.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=2ea0c411fb264fa509d6a27cd12091f5,dispensary,,,587-285-2556,,,,2010400store@alcanna.com,,,9310 Southfort Drive Unit 101,,,,
6,306659,Value Buds - Deerfoot Meadows,"At Nova Cannabis we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more. But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do.

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://www.novacannabisstore.com,,Calgary,Alberta,Value Buds - Deerfoot Meadows,T2H 0B8,-114.0430739,50.9837286,,https://www.leafly.ca/cannabis-store/nova-cannabis-deerfoot-meadows,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2F8LuVstvWTnCOoflOogKl_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=0828c8701c56fb1d0c0c7616718b49e7,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2F8LuVstvWTnCOoflOogKl_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=55501f6e361cb4bde30a84948b36e39b,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FhrCeHwGLQQKtn21cxDKo_LeaflyGraphics_seniormilitary2.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=8872a48d7291af4802325c4252fe453e,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FyZOacL9oSUSR9juhCdY3_LeaflyGraphics_seniormilitary.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=1f86b9659ee48d52c43c2685cb572e69,,dispensary,,,403-475-9867,,,,2010610store@alcanna.com,,,"#12, 7929 - 11 St. SE",,,,
7,306138,Value Buds - Grande Prairie,"At Nova Cannabis we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more. But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do.

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://www.novacannabisstore.com/,,Grande Prairie,Alberta,Value Buds - Grande Prairie,T8V 8J5,-118.8247884,55.1636163,,https://www.leafly.ca/cannabis-store/nova-cannabis-grande-prairie,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2Fp6SIoX8OSbS50Bv8QyUt_Value-buds-cover-(1920x1920).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=672016f40f67965ab4775a6d12c8324b,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2Fp6SIoX8OSbS50Bv8QyUt_Value-buds-cover-(1920x1920).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=ab4301057b4ec3a45f71a7b6c2360781,,,,dispensary,,,587-259-0797,,,,2010002store@alcanna.com,,,10940 -102 Avenue,,,,
8,303391,Value Buds - Signal Hill,"At Nova Cannabis we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more. But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do.

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://www.novacannabisstore.com/,,Calgary,Alberta,Value Buds - Signal Hill,T3H 3P8,-114.1715575,51.0182464,,https://www.leafly.ca/cannabis-store/nova-cannabis-signal-hill,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FezOPx3D6TYSMfHDR2890_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=c53985b0a23d9659b146386095083954,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FezOPx3D6TYSMfHDR2890_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=13685bef063a6ab805b35cc86b964aca,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2Fw4ICFYKuTDOwrhgoMAlS_609%2520pics%25203.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=1d3a484b31b197e9efe6473fac8275fd,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FdzmOR3t5SWiMk2rceKDp_609%2520pics%25202.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=e75c67f33b9dedf4cff6f5e8122617b5,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FTHsNngk3SOuvEFxltX1X_609%2520pics%25201.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=052a0bc6402856a69fab272cff06d440,dispensary,,,403-217-3581,,,,2010609store@alcanna.com,,,5695 Signal Hill Centre SW,,,,
9,315696,Value Buds - Chappelle Commons,"At Nova Cannabis we carry an outstanding line of products and top brands representing the best in flowers, oils, capsule, seeds, pre-rolls, edibles and more.
But, we’re more than just the product. Our Customer Experience Representatives are ready to help you navigate strains, product types and the perfect accessories for making the most out of every moment. Walk around and ask questions, because nobody knows what you need better than we do.

Please be advised that the THC and CBD percentages provided are the median of the range provided by the licensed producer. For exact THC and CBD product contents, please consult with a Customer Experience Representative in store.

As a result of new regulations by the Government of Alberta, we require the use of face masks in-store during order pick-up. Be sure to bring government-issued ID showing you are 18+.  Please use cannabis responsibly and don’t drive while impaired.",https://www.novacannabisstore.com,,Edmonton,Alberta,Value Buds - Chappelle Commons,T6W 3YP,-113.5679382,53.4100651,,https://www.leafly.ca/cannabis-store/nova-cannabis-chappelle-commons,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FiEooQiFdSQGQmq4Fj9IG_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=1&w=1100&h=750&fit=fillmax&s=838aa2f421de42ab752feb48fc541af1,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FiEooQiFdSQGQmq4Fj9IG_Value-buds-cover-(1920x1920)-(1).jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=f4587a096c11bae92f722e6f2b7574ed,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2F3lqO2yizRPKZW3JbxUjE_IMG_20200221_110958.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=1c14cd2988d88c2920042397a287a2c0,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2FJaGtp7H5SQqBh2lkCLCG_IMG_20200221_110544.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=01347c90d3087d18a644e2fd4c7e463b,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fdispensary%2Fphotos%2F6uQGWzfRt64NTUc6KrC0_00100trPORTRAIT_00100_BURST20200221112752561_COVER.jpg?ixlib=js-2.3.2&dpr=3&w=1100&h=750&fit=fillmax&s=e129401f96a06d475bcff42a4dcdc37d,dispensary,,,587-454-5772,,,,2010418store@novacannabisstore.com,,,14143 28 Ave SW,,,,
